TRADEDATE,BOARDID,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
2016-06-07,CNGD,USDRUB_TOM,USD000UTSTOM,65.245,64.85,65.55,65.05,26,5345646675.0,
2016-06-08,CETS,USDRUB_TOM,USD000UTSTOM,64.63,63.4725,64.8175,63.61,53845,275682327595.0,64.0979
2016-06-08,CNGD,USDRUB_TOM,USD000UTSTOM,64.62,63.6217,64.7528,63.79,27,5425300762.5,
2016-06-09,CETS,USDRUB_TOM,USD000UTSTOM,63.6975,63.4,64.5,64.3275,46713,267981337700.0,64.051
2016-06-09,CNGD,USDRUB_TOM,USD000UTSTOM,63.64,63.45,64.44,64.0131,43,8360370450.0,
2016-06-10,CNGD,USDRUB_TOM,USD000UTSTOM,64.3275,64.3275,65.2,65.2,20,3866991017.5,
2016-06-10,CETS,USDRUB_TOM,USD000UTSTOM,64.675,64.1075,65.38,65.28,48532,247144502392.5,64.7298
2016-06-14,CETS,USDRUB_TOM,USD000UTSTOM,65.865,65.7075,66.315,66.14,45065,259138940580.0,66.0706
2016-06-14,CNGD,USDRUB_TOM,USD000UTSTOM,65.917,65.2,66.265,65.8,28,3478240501.2,
2016-06-15,CETS,USDRUB_TOM,USD000UTSTOM,65.8225,65.0625,66.065,65.5125,45143,233612379745.0,65.7038
2016-06-15,CNGD,USDRUB_TOM,USD000UTSTOM,66.14,65.29,66.14,65.29,37,12945627565.0,
2016-06-16,CETS,USDRUB_TOM,USD000UTSTOM,65.6225,65.36,66.09,65.78,49316,272053021857.5,65.8408
2016-06-16,CNGD,USDRUB_TOM,USD000UTSTOM,65.5125,65.5125,66.03,65.99,31,23216366278.3,
